workerId	tasktype	q1	q1correct	q1err	q2	q2correct	q2err	q3	q3correct	q3err	q4	q4correct	q4err	q5	q5correct	q5err	q6	q6correct	q6err	q7	q7correct	q7err	q8	q8correct	q8err	age	gender	educ	chartuse	stats	resource	race	enjoyment	preq1	preq2a	preq2b	preq3	prescore	totaltime
95i3lftmt4u8vg5iclxmq85miumoftux7eumfsb400hpioogvi	rc_np	90	1	0	1	0	1	98	0	-2	99	0	-1	4	0	-1	1	0	1	10	0	5	45	1	0	45	male	bach	rarely	often	no	white	somewhatEnjoyable	25	25	20	20	2	1588
ykkx0ssee3lvfzoosnz8h0k9f3d8qf0urarb1apctxpmish5mi	rd_np	60	0	-30	10	0	10	85	0	-15	90	0	-10	20	0	15	5	0	5	5	1	0	30	0	-15	25	female	grad	sometimes	sometimes	no	white	moderatelyEnjoyable	25	30	20	50	4	1224
p9j0tas2di5lhxvfw3bfyldi7q45c9zombm9cbm8ptxjb2csor	rd_np	60	0	-30	5	0	5	90	0	-10	85	0	-15	20	0	15	10	0	10	15	0	10	30	0	-15	25	male	high	rarely	often	no	white	slightlyEnjoyable	25	60	20	8	2	3160
o4w21nx7l0rbqa7ii074aemi3f4fgc4ama3nh8gvdiin5ng66r	rd_np	70	0	-20	3	0	3	95	0	-5	97	0	-3	30	0	25	1	0	1	70	0	65	50	0	5	25	male	bach	often	sometimes	no	other	somewhatEnjoyable	25	30	20	50	4	971
6lg06wf4fuez4xtpkymzvkj4i9ypaehc174kv6r0fair418aor	rd_np	50	0	-40	0	1	0	100	1	0	100	1	0	0	0	-5	0	1	0	45	0	40	5	0	-40	25	male	high	never	veryoften	no	white	moderatelyEnjoyable	10	30	12	4	1	1312
wsspesqtskw48k8j241b57b9hn6lkodveqv03bfazpstw3ik9	rc_np	75	0	-15	10	0	10	100	1	0	100	1	0	10	0	5	0	1	0	25	0	20	95	0	50	25	female	bach	rarely	veryoften	no	white		25	30	12	8	2	1096
z78ssrlk3077y72ej9ovl5wmi5ufcf66abgpa6ediu10oyfogvi	rc_np	50	0	-40	10	0	10	100	1	0	95	0	-5	5	1	0	5	0	5	10	0	5	60	0	15	45	female	high	rarely	veryoften	no	white	slightlyEnjoyable	33	25	25	1	0	1051
3k41j34rclflxcdgd3wpsw0zfrlo5qsvdjgi2relge3iynzh0k9	rd_np	62	0	-28	10	0	10	26	0	-74	15	0	-85	5	1	0	14	0	14	26	0	21	37	0	-8	25	female	bach	sometimes	veryoften	no	white	slightlyEnjoyable	60	24	38	30	0	492
3kfwzsu7bdbl35hyhhhijdobt9od07wzof2miedo00gyadobt9	rc_np	60	0	-30	1	0	1	2	0	-98	99	0	-1	20	0	15	1	0	1	15	0	10	40	0	-5	25	male	grad	sometimes	sometimes	no	white	slightlyEnjoyable	20	30	20	50	3	1648
yu9xo4l8j4srsre2t6f3fecdigm907g0x9b42g6r98dhuayvi	rc_np	70	0	-20	95	0	95	90	0	-10	100	1	0	30	0	25	30	0	30	50	0	45	50	0	5	25	female	high	rarely	veryoften	no	white	notatallEnjoyable	50	30	20	25	2	2580
56jmz9ff0sb4aa9rbv1qmmquxrhdl2hbmdg1tcu81oku5e45cdi	rc_np	100	0	10	0	1	0	100	1	0	100	1	0	0	0	-5	0	1	0	25	0	20	50	0	5	25	female	bach	often	often	no	white	moderatelyEnjoyable	25	30	20	50	4	684
g18r6lfa6cos97smqt2h2gldimztcpn2z2csvda2zcoipphkt9	rd_np	60	0	-30	5	0	5	95	0	-5	95	0	-5	20	0	15	5	0	5	10	0	5	30	0	-15	35	female	grad	sometimes	often	no	white	somewhatEnjoyable	25	30	20	16	3	2418
6olaccb12n3dbm7f1pg882rzfr8tfy18pm8dhi8zyz175xhto6r	rc_np	10	0	-80	10	0	10	90	0	-10	99	0	-1	25	0	20	1	0	1	3	0	-2	50	0	5	25	male	grad	often	often	no	white	slightlyEnjoyable	25	30	20	50	4	869
xyjzuwwbxssl73i0klmwvcxrgfh5wx35pk5kzede7l9emte29	rd_np	50	0	-40	25	0	25	95	0	-5	90	0	-10	25	0	20	5	0	5	10	0	5	35	0	-10	25	male	high	sometimes	often	no	white	moderatelyEnjoyable	25	25	23	50	2	1595
x4cuas5huntmqzwwxafrsh5mibneyur2atl35y7zov0x315rk9	rd_np	0	0	-90	90	0	90	25	0	-75	100	1	0	100	0	95	0	1	0	0	0	-5	0	0	-45	25	male	bach	rarely	veryoften	no	white	slightlyEnjoyable	25	30	23	80	2	1458
skosqrtwuoccq7g4ou0e019k9k5smb134778jehxl82r9t3xr	rc_np	80	0	-10	10	0	10	80	0	-20	90	0	-10	18	0	13	6	0	6	12	0	7	20	0	-25	35	female	high	rarely	often	no	white	moderatelyEnjoyable	40	33	20	5	1	2815
srpk4s1vkdv13suy4k5f561or5hi4daoa2ueqnksybca4soflxr	rc_np	36	0	-54	54	0	54	28	0	-72	17	0	-83	56	0	51	69	0	69	58	0	53	29	0	-16	18	male	bach	often	rarely	no	other	slightlyEnjoyable	10	25	10	15	0	700
26xh3rxiz16futt401oyh3q5miyzm5qzrfgujj58xlda62yb9	rd_np	80	0	-10	0	1	0	100	1	0	100	1	0	10	0	5	0	1	0	0	0	-5	80	0	35	25	male	high	rarely	veryoften	no	white	somewhatEnjoyable	10	16	22	20	0	3094
1ypisjhxzwenp9dwjto36usorklyjf3vjhipzb4063jbawcdi	rc_np	30	0	-60	40	0	40	90	0	-10	2	0	-98	5	1	0	10	0	10	30	0	25	50	0	5	25	male	high	sometimes	veryoften	no	hispanic	moderatelyEnjoyable	20	25	30	95	0	1008
		55	0	-35	10	0	10	85	0	-15	90	0	-10	20	0	15	10	0	10	10	0	5	10	0	-35	35	female	high	rarely	often	no	black	slightlyEnjoyable					0	
bg6ny8f19oa7tj278c7qtzkt9hsvb17qxbaiqm5sir78k6gvi	rc_np	40	0	-50	20	0	20	70	0	-30	70	0	-30	40	0	35	10	0	10	30	0	25	25	0	-20	45	male	bach	never	veryoften	no	white	notatallEnjoyable	40	30	23	4	1	1304
l08e0klk4xco3ox27rddyrpb9t8nl68cpdybebwvob0f11yvi	rd_np	90	1	0	50	0	50	45	0	-55	15	0	-85	75	0	70	10	0	10	25	0	20	50	0	5	25	male	bach	never	veryoften	no	white	slightlyEnjoyable	25	30	15	30	2	482
hf59h2ugwo5nfrlmjwtztcsorcbdlptve69mnkrkdd2s05dn29	rd_np	80	0	-10	0	1	0	100	1	0	100	1	0	5	1	0	0	1	0	5	1	0	40	0	-5	25	female	bach	sometimes	often	no	white	slightlyEnjoyable	25	30	20	50	4	1701
r2lelclkl24wc2f20yamxi529zz1hzyyz7a17uhl3h0jjdcxr	rc_np	40	0	-50	0	1	0	0	0	-100	50	0	-50	10	0	5	0	1	0	25	0	20	75	0	30	35	female	high	rarely	veryoften	no	white	moderatelyEnjoyable	25	30	12	0.5	2	756
l5rzhhr0gpirniswp20jatt9hq8fg96nrtw75kwy0atlf2yb9	rc_np	100	0	10	0	1	0	100	1	0	100	1	0	0	0	-5	0	1	0	35	0	30	50	0	5	45	female	high	rarely	veryoften	no	white	notatallEnjoyable	40	35	40	25	0	682
ljpjczyw3k8dzjcj9cf2yb9q63e7gm5mdltdnq050s51xlxr	rd_np	20	0	-70	1	0	1	95	0	-5	97	0	-3	10	0	5	15	0	15	40	0	35	15	0	-30	45	female	bach	sometimes	often	no	white	somewhatEnjoyable	10	30	14	20	1	1905
g00b8xitjm136ralfhjpds4i41ly18dx1b31zjnyf8mmquxr	rc_np	50	0	-40	5	0	5	98	0	-2	98	0	-2	32	0	27	1	0	1	20	0	15	20	0	-25	25	male		sometimes	rarely	no	asian	slightlyEnjoyable	25	30	20	4	3	2234
8j1onzjh12w1gw3en6ver8uxrozm4161yb9oe9c7bgnwswnrk9	rc_np	70	0	-20	0	1	0	100	1	0	100	1	0	13	0	8	0	1	0	13	0	8	35	0	-10	35	female	bach	rarely	often	no	white	notatallEnjoyable	25	30	23	50	3	2287
1x4dbqxpu98fb0gskqxclq5mi5otkj20jrdz2tfa6dcxnso47vi	rc_np	90	1	0	5	0	5	75	0	-25	50	0	-50	30	0	25	60	0	60	80	0	75	85	0	40	35	male	other	sometimes	often	no	white	somewhatEnjoyable	15	30	11	10	1	2313
vo8zpy3n1xjh0nth53i110pb91vw8a0q21w9e4obiacrxp3nmi	rd_np	50	0	-40	5	0	5	95	0	-5	95	0	-5	25	0	20	10	0	10	15	0	10	25	0	-20	35	female	bach	sometimes	sometimes	no	white	somewhatEnjoyable	25	30	20	4	3	1697
hrdnmy2q1ovbuhx8qo3ymbo6r3zxsq8o8bd29u4nd9wbcu40a4i	rc_np	70	0	-20	0	1	0	100	1	0	100	1	0	5	1	0	0	1	0	10	0	5	10	0	-35	45	female	grad	rarely	often	no	black	moderatelyEnjoyable	10	30	29	4	1	1792
4eid24g6mkub63h1wccp611yvi6bk2ec9s0q8cvju6wurrafw29	rc_np	30	0	-60	35	0	35	25	0	-75	40	0	-60	10	0	5	25	0	25	30	0	25	33	0	-12	25	male	bach	often	often	no	black	somewhatEnjoyable	25	10	10	30	1	766
l90drreecp20wuvsq8vsd1jor2t1ihycn2ojd1nhd73gv0wwmi	rd_np	70	0	-20	0	1	0	100	1	0	100	1	0	30	0	25	0	1	0	0	0	-5	40	0	-5	25	female	grad	often	rarely	no	white	somewhatEnjoyable	40	30	20	50	3	1048
mot3dmtxafayucruv343u9pb9tzxoabkrcivutmhtr1nz8h0k9	rd_np	55	0	-35	0	1	0	95	0	-5	95	0	-5	15	0	10	8	0	8	15	0	10	15	0	-30	25	female	high	rarely	veryoften	no	white	somewhatEnjoyable	25	30	23	80	2	1102
1itre3nge8hofzxxepyuo3l3divqtzoydfddg9wfgeybtaf9a4i	rc_np	10	0	-80	10	0	10	10	0	-90	10	0	-90	70	0	65	100	0	100	100	0	95	100	0	55	25	male	high	rarely	often	no	white	notatallEnjoyable	10	15	22	12	0	538
bq67g79prssafvkz2nb8x5hfr9s2p2u9u5f8zivczjh0n3ik9	rd_np	50	0	-40	5	0	5	100	1	0	100	1	0	50	0	45	0	1	0	0	0	-5	5	0	-40	45	male	grad	sometimes	sometimes	no	white	somewhatEnjoyable	25	10	20	50	3	2611
miqkhf6vivo6mdqbnrmdvx6rzgu5k3vucw4w6nsl2am0r7ldi	rc_np	50	0	-40	2	0	2	80	0	-20	90	0	-10	12	0	7	30	0	30	25	0	20	35	0	-10	45	male	grad	rarely	veryoften	no	white	slightlyEnjoyable	40	30	23	4	1	1133
k9km6107he1xd7d5zatwt57b9gm58ss7ehd7f4trng9ha7nwmi	rd_np	30	0	-60	45	0	45	70	0	-30	60	0	-40	45	0	40	50	0	50	60	0	55	75	0	30	18	male	other	rarely	often	no	white	somewhatEnjoyable	10	6	23	4	0	904
p6vxwkexfrjjdiu3wb5w89f6rcdjiiqglr6u5furyug4v1v2t9	rc_np	30	0	-60	50	0	50	75	0	-25	50	0	-50	25	0	20	25	0	25	5	1	0	5	0	-40	35	female	grad	rarely	often	no	white	somewhatEnjoyable	83	24	12	15	0	2013
0oqloy6btwbv0114ri338ilik97lee80bsxk4p4gd7h40kg4aemi	rd_np	70	0	-20	0	1	0	100	1	0	100	1	0	15	0	10	0	1	0	15	0	10	35	0	-10	25	female	grad	often	sometimes	no	white	moderatelyEnjoyable	25	30	28	50	3	2125
kpr6krj3yamzki7yi4sglow29ruj9irlx192f8xctpkw8hyqfr	rc_np	80	0	-10	80	0	80	75	0	-25	85	0	-15	75	0	70	80	0	80	85	0	80	80	0	35	35	female	other	never	often	no	white	notatallEnjoyable	20	20	15	5	0	461
pc33hv2w012133wnz7rdx6r70dpdz6e43ziro6pxwninvzpvi	rc_np	70	0	-20	2	0	2	98	0	-2	90	0	-10	15	0	10	2	0	2	10	0	5	25	0	-20	25	male	grad	often	often	no	white	somewhatEnjoyable	25	30	23	50	3	855
3koa8cue1nzyq8z8dsxjz9qkt9zwqragv70zrwrdnluzv6ajor	rc_np	68	0	-22	50	0	50	90	0	-10	100	1	0	30	0	25	5	0	5	20	0	15	20	0	-25	18	male	bach	rarely	often	no	hispanic	notatallEnjoyable	25	30	20	50	4	548
blyp6lkaczg2pcqyuab0xjemiibr9kj5rrv34rb21ifgczncdi	rc_np	100	0	10	0	1	0	100	1	0	100	1	0	0	0	-5	0	1	0	1	0	-4	50	0	5	35	female	bach	sometimes	often	no	white	slightlyEnjoyable	7	30	23	3	1	3389
o9j5xrcnd024olo298mr0ms4iiaai9pxcsq56ajnesn4z8semi	rc_np	70	0	-20	5	0	5	95	0	-5	97.5	0	-2.5	30	0	25	5	0	5	15	0	10	35	0	-10	25	female	bach	rarely	veryoften	no	white	slightlyEnjoyable	25	30	20	50	4	1826
cegxiqnzb7vqgkowlndygb9k4ig44kqhulmzpnycdb8iwwmi	rd_np	95	0	5	0	1	0	100	1	0	100	1	0	5	1	0	0	1	0	5	1	0	45	1	0	25	male	bach	rarely	often	no	white	moderatelyEnjoyable	25	30	20	4	3	2168
3dci1qmhatvxw5jr3hfhqto6r15wqh5vfnue5prtkejki46xbt9	rc_np	0	0	-90	50	0	50	99	0	-1	100	1	0	100	0	95	0	1	0	0	0	-5	0	0	-45	25	male	high	rarely	often	no	hispanic	moderatelyEnjoyable	25	30	20	50	4	1722
puijmwvaqoz4mfsef1p3tbj4iwafb55zt3jidbgwdna9bpgb9	rd_np	20	0	-70	40	0	40	60	0	-40	20	0	-80	30	0	25	45	0	45	25	0	20	10	0	-35	25	female	bach	rarely	veryoften	no	white	moderatelyEnjoyable	25	30	20	40	3	1282
13yhu7z0a03h688h17ocn5ewmi6k9q6bsyy0b5ca3puygt1q0k9	rd_np	95	0	5	95	0	95	50	0	-50	75	0	-25	33	0	28	50	0	50	35	0	30	70	0	25	45	female	bach	rarely	often	no	white	slightlyEnjoyable	25	25	70	20	1	2629
ons8lle2243stnwhu0dn7y14i8d4k0ps8az3f4zt20llbk8d7vi	rc_np	20	0	-70	45	0	45	37	0	-63	15	0	-85	13	0	8	15	0	15	50	0	45	36	0	-9	25	female	grad	never	often	no	white	notatallEnjoyable	10	40	40	20	0	709
bt4v6qszoj1soakghbqhbyb9li9srojr232vm1xpfzq4r6bt9	rc_np	35	0	-55	45	0	45	35	0	-65	45	0	-55	35	0	30	45	0	45	55	0	50	45	1	0	25	male	bach	sometimes	often	no	white	moderatelyEnjoyable	500	4	4	2	0	1250
pippui36v29io963iev6j38frxcl5d2tvo80pcif4ai08jjor	rc_np	20	0	-70	0	1	0	100	1	0	100	1	0	60	0	55	70	0	70	90	0	85	80	0	35	35	male	high	sometimes	veryoften	no	white	slightlyEnjoyable	40	30	23	20	1	871
wwriulm6flj0u1ppisv1dzpviz9rlsjvo3gmabs2la0chxgvi	rc_np	70	0	-20	5	0	5	99	0	-1	99	0	-1	30	0	25	1	0	1	30	0	25	70	0	25	18	male	bach	rarely	often	no	white	somewhatEnjoyable	25	25	23	20	1	734
tp6hzzf5axgbtilftqllq5mii3a63bjjx7dl0v4s3vkotj4i	rc_np	10	0	-80	15	0	15	5	0	-95	10	0	-90	5	1	0	30	0	30	35	0	30	25	0	-20	25	female	bach	rarely	veryoften	no	white	moderatelyEnjoyable	25	30	60	50	3	1407
i72giij1rj0ktovb9syrxusorfk3bcobemq50bs65blwvobt9	rc_np	40	0	-50	25	0	25	95	0	-5	95	0	-5	85	0	80	15	0	15	65	0	60	80	0	35	25	male	high	sometimes	veryoften	no	white	moderatelyEnjoyable	20	30	20	15	2	1027
m07mx3eb0c8q2ndfj8snvobt9ut0o6a271alu1tk5azss5g66r	rd_np	70	0	-20	2.5	0	2.5	99	0	-1	99	0	-1	45	0	40	1	0	1	12.5	0	7.5	12.5	0	-32.5	18	male	bach	rarely	often	no	asian	slightlyEnjoyable	25	30	20	50	4	1204
wi9znl8ibvs61tsuc05tawcdi4pmq6eavmq4w048s7bsxlxr	rd_np	70	0	-20	80	0	80	80	0	-20	70	0	-30	50	0	45	70	0	70	60	0	55	50	0	5	25	female	bach	rarely	often	no	asian	slightlyEnjoyable	60	16	12	20	0	1337
f4rpn68x0z1bfdhge7cbfyldiy47st1ywwjvlmw9nb0gt4kj4i	rc_np	5	0	-85	0	1	0	99	0	-1	100	1	0	5	1	0	0	1	0	0	0	-5	5	0	-40	18	male	grad	rarely	sometimes	no	white		25	30	40	10	2	2137
ztskyyjrty0z8tcxcc7db1emiv0umdrgq89i2uu94xtmbtvs4i	rc_np	80	0	-10	35	0	35	95	0	-5	95	0	-5	15	0	10	15	0	15	30	0	25	25	0	-20	18	female	bach	rarely	sometimes	no	white	slightlyEnjoyable	40	30	20	50	3	984
6079ejkm4n5tl13ub4yy3z0k9jn92r9zgna0y80kc1x9h8semi	rc_np	95	0	5	0	1	0	100	1	0	100	1	0	50	0	45	0	1	0	50	0	45	95	0	50	35	male	bach	sometimes	often	no	white	notatallEnjoyable	33	30	23	53	1	1115
53g4jtxy00j59d2svuysjxajoravqqbmc9h3xg1o3f54su4n29	rd_np	60	0	-30	5	0	5	80	0	-20	80	0	-20	20	0	15	5	0	5	10	0	5	30	0	-15	35	male	bach	sometimes	often	no	black	somewhatEnjoyable	25	30	20	8	3	1127
ff5falzwvzsay0zoxh0nt57b9ww0py3so0wz2gmvsay9fi529	rd_np	20	0	-70	5	0	5	25	0	-75	30	0	-70	10	0	5	5	0	5	5	1	0	5	0	-40	35	female	grad	rarely	often	no	black	notatallEnjoyable	4	30	23	4	1	936
q1qd8n22xa2rr8es6ziu23xrnod0u2yheclojg8qftmi8jjor	rc_np	95	0	5	1	0	1	95	0	-5	95	0	-5	5	1	0	1	0	1	10	0	5	60	0	15	35		high	never	veryoften	no	white	slightlyEnjoyable	25	30	20	50	4	993
g8umqsfz2opmmjfjqqzq1714iuw0zuv5yo1x6e6k2qvnqgds4i	rd_np	50	0	-40	0	1	0	100	1	0	100	1	0	0	0	-5	0	1	0	50	0	45	0	0	-45	25	female	bach	rarely	veryoften	no	white	slightlyEnjoyable	40	30	23	4	1	1449
gci89bktn1tkb1etghdc59udi0u61nq44oda4s2vct10apuv7vi	rc_np	50	0	-40	10	0	10	30	0	-70	40	0	-60	30	0	25	30	0	30	50	0	45	30	0	-15	25	male	high	sometimes	veryoften	no	white	extremelyEnjoyable	25	30	20	10	3	2609
k0wco5v1if0mqfdjs1eeo2yb9mgpv7u5swcw9gtri358livn29	rd_np	75	0	-15	0	1	0	100	1	0	100	1	0	20	0	15	0	1	0	5	1	0	66	0	21	45	female	high	rarely	often	no	white	somewhatEnjoyable	12	25	23	5	0	3373
obpqmvnhinp6zoswvsosf9a4isyvzrv8j82n19xpgyyrgrpb9	rd_np	70	0	-20	0	1	0	100	1	0	100	1	0	15	0	10	0	1	0	15	0	10	35	0	-10	25	female	bach	often	rarely	no	white	moderatelyEnjoyable	25	30	20	50	4	1255
8e1jgz5mem9upbrlxy9w8f47vihtegsjmhcbdqojabvis4cayvi	rc_np	70	0	-20	4	0	4	95	0	-5	4	0	-96	15	0	10	3	0	3	10	0	5	35	0	-10	25	male	bach	rarely	often	no	white	somewhatEnjoyable	25	30	20	50	4	2170
		85	0	-5	0	1	0	100	1	0	100	1	0	5	1	0	0	1	0	10	0	5	75	0	30	25	female	bach	rarely	often	no	white	slightlyEnjoyable	40	30	23	20	1	
kdpimqyoa6w2f37pwnfa5g66reyh02w3baah5nr9onpfzi4fgvi	rd_np	20	0	-70	0	1	0	0	0	-100	100	1	0	0	0	-5	0	1	0	25	0	20	10	0	-35	25	male	bach	sometimes	veryoften	no	white	somewhatEnjoyable	4	10	20	10	1	549
2zadihekbwv7fj6v7k5jexw295e2f2n7hkm0a6u826ar9221emi	rd_np	45	0	-45	10	0	10	65	0	-35	25	0	-75	20	0	15	40	0	40	35	0	30	35	0	-10	25	female	bach	sometimes	often	no	white	somewhatEnjoyable	60	30	8	10	1	789
3hgkhwq293yb2k9a28eoqg2e29v099cvnwsnuix88qfjm3lq5mi	rc_np	90	1	0	0	1	0	100	1	0	100	1	0	5	1	0	0	1	0	5	1	0	45	1	0	25	female	bach	rarely	often	no	asian	somewhatEnjoyable	40	30	23	40	1	1098
zqfbg2b8vh2nhvanmgr5dn29kutmrquvqkzpxn8jasdzpvi	rd_np	67	0	-23	5	0	5	96	0	-4	95	0	-5	15	0	10	2	0	2	25	0	20	30	0	-15	35	male	bach	sometimes	often	no	white	slightlyEnjoyable	25	30	20	50	4	1260
cof0dli29wafxmfy7pcf03sor5u5cqwdz3mhxzmjj88q9qkt9	rd_np	20	0	-70	50	0	50	25	0	-75	85	0	-15	30	0	25	10	0	10	15	0	10	15	0	-30	35	male	high	rarely	veryoften	no	white	slightlyEnjoyable	40	30	50	25	1	820
tvn2ikp2tvkgf4s21llzestt97dwi0m884wndlsfhqinqni2j4i	rc_np	40	0	-50	80	0	80	55	0	-45	40	0	-60	65	0	60	50	0	50	40	0	35	35	0	-10	25	male	bach	sometimes	rarely	no	white	moderatelyEnjoyable	40	35	20	45	1	1707
2fech1aj7pmk52qr8mp0jurf6rbb1mrip90q8miud92c50l766r	rd_np	60	0	-30	20	0	20	80	0	-20	80	0	-20	40	0	35	30	0	30	50	0	45	65	0	20	25	female	bach	rarely	often	no		notatallEnjoyable	25	30	20	50	4	1079
ioedjxabu7223enifogioogvi1m1ubrag5koyrb5rip1bsp2e29	rc_np	25	0	-65	50	0	50	55	0	-45	20	0	-80	20	0	15	40	0	40	20	0	15	22	0	-23	35	female	high	sometimes	veryoften	no	white	somewhatEnjoyable	10	25	23	15	0	1265
jauisgp56195r9qm7lueopqfrkzy64erio6g48b88te9jp2e29	rd_np	20	0	-70	0	1	0	30	0	-70	35	0	-65	10	0	5	30	0	30	25	0	20	25	0	-20	45	female	bach	rarely	often	no	white	slightlyEnjoyable	10	36	20	5	1	1262
pxf7lcw9oad9z3azl11bdquxr3am9d6e7kyhjktkvq54auzyqfr	rd_np	26	0	-64	13	0	13	35	0	-65	30	0	-70	30	0	25	30	0	30	30	0	25	30	0	-15	25	female	bach	often	often	no	black	somewhatEnjoyable	150	25	11	30	0	1445
mi3j4ethauizw7bueda2it3xr3vn05l7rw2tyx5q8bycunxw29	rd_np	90	1	0	30	0	30	90	0	-10	100	1	0	60	0	55	0	1	0	10	0	5	20	0	-25	35	male	high	never	veryoften	no	white	moderatelyEnjoyable	60	30	50	20	1	1555
3t79t42hzdle4l9hb2p5zmpldix7przsfnvohialqcl6ktvs4i	rd_np	70	0	-20	2	0	2	100	1	0	90	0	-10	15	0	10	5	0	5	15	0	10	15	0	-30	18	female	high	sometimes	often	no	white	notatallEnjoyable	25	30	20	25	3	890
wi0xa93eylk88mappy7vz33di6ulrnskwebruid3v0k3pduz0k9	rc_np	70	0	-20	1	0	1	99	0	-1	99	0	-1	15	0	10	1	0	1	5	1	0	35	0	-10	25	male	bach	rarely	often	no	white	slightlyEnjoyable	25	30	20	50	4	1757
3vmy2k8jz99376soei3bygy14i01rnde1insrhr42igm12ygy14i	rd_np	60	0	-30	0	1	0	100	1	0	100	1	0	15	0	10	0	1	0	15	0	10	30	0	-15	35	male	bach	rarely	often	no	white	notatallEnjoyable	25	25	33	95	1	1094
6gc4sdy8cha8smq0n57txrbe29sv8cewzos448fw4u06civn29	rd_np	10	0	-80	25	0	25	50	0	-50	20	0	-80	50	0	45	25	0	25	25	0	20	25	0	-20	25	female	high	never	veryoften	no	white	notatallEnjoyable	10	25	11	20	0	851
t9xu6e7bdokxyujwbcnpcik957edwhdk0b0z3ea1xky3yaxlxr	rd_np	90	1	0	0	1	0	100	1	0	100	1	0	5	1	0	0	1	0	5	1	0	45	1	0	35	male	high	sometimes	veryoften	no	white	somewhatEnjoyable	25	30	20	4	3	2014
xtfwg3uzxibnzep5m2yl7syviwjlsdds52gtgkpf807fogvi	rc_np	5	0	-85	5	0	5	25	0	-75	50	0	-50	40	0	35	60	0	60	40	0	35	20	0	-25	25	male	high	never	veryoften	no	white	slightlyEnjoyable	25	30	22	4	2	1253
lm9e0jx8873fzq9zxsj68ncdi6jyavx9f1c30679jwioyfogvi	rc_np	78	0	-12	34	0	34	87	0	-13	88	0	-12	4	0	-1	89	0	89	87	0	82	79	0	34	35	female	high	never	veryoften	no	black	moderatelyEnjoyable	40	5	7	30	0	1412
oha2gi0uufars4lpat8ykqpvi6ofv6aabso6wpxfj1i9mivbo6r	rd_np	20	0	-70	10	0	10	75	0	-25	10	0	-90	20	0	15	50	0	50	10	0	5	10	0	-35	25	male	grad	veryoften	rarely	no	white	moderatelyEnjoyable	20	25	35	20	0	377
